word_form_id,word_form,lemma,pos,sent_id,text_numb
1,ярослав,ярослав,NOUN,1,1
2,грицак,грицак,NOUN,1,1
3,нариси,нарис,NOUN,2,1
4,з,з,PREP,2,1
5,історії,історія,NOUN,2,1
6,україни,україна,NOUN,2,1
7,формування,формування,NOUN,2,1
8,української,український,ADJF,2,1
9,модерної,модерний,ADJF,2,1
10,нації,нація,NOUN,2,1
11,вступ,вступ,NOUN,3,1
12,один,один,NPRO,4,1
13,із,із,PREP,4,1
14,сучасних,сучасний,ADJF,4,1
15,теоретиків,теоретик,NOUN,4,1
16,дослідження,дослідження,NOUN,4,1
17,націоналізму,націоналізм,NOUN,4,1
18,сказав,сказати,VERB,4,1
19,що,що,CONJ,4,1
20,національні,національний,ADJF,4,1
21,історики,історик,NOUN,4,1
22,мають,мати,VERB,4,1
23,таке,такий,NPRO,4,1
24,саме,саме,PRCL,4,1
25,відношення,відношення,NOUN,4,1
26,до,до,PREP,4,1
27,будівничих,будівничий,NOUN,4,1
28,нації,нація,NOUN,4,1
29,що,що,CONJ,4,1
30,і,і,CONJ,4,1
31,селяни,селянин,NOUN,4,1
32,які,який,NPRO,4,1
33,вирощують,вирощувати,VERB,4,1
34,мак,мак,NOUN,4,1
35,до,до,PREP,4,1
36,торгівців,торговець,NOUN,4,1
37,опіуму,опіум,NOUN,4,1
38,в,в,PREP,4,1
39,обидвох,обидвоє,NUMR,4,1
40,випадках,випадок,NOUN,4,1
41,перші,перший,ADJF,4,1
42,постачають,постачати,VERB,4,1
43,другим,другий,NUMR,4,1
44,сировину,сировина,NOUN,4,1
45,українські,український,ADJF,5,1
46,історики,історик,NOUN,5,1
47,переважно,переважно,ADVB,5,1
48,постачали,постачати,VERB,5,1
49,своїм,свій,NPRO,5,1
50,співвітчизникам,співвітчизник,NOUN,5,1
51,гіркий,гіркий,ADJF,5,1
52,наркотик,наркотик,NOUN,5,1
53,український,український,ADJF,6,1
54,письменник,письменник,NOUN,6,1
55,і,і,CONJ,6,1
56,політичний,політичний,ADJF,6,1
57,діяч,діяч,NOUN,6,1
58,володимир,володимир,NOUN,6,1
59,винниченко,винниченко,NOUN,6,1
60,після,після,PREP,6,1
61,прочитання,прочитання,NOUN,6,1
62,чергового,черговий,ADJF,6,1
63,фраґменту,фраґмент,NOUN,6,1
64,історії,історія,NOUN,6,1
65,україни-руси,україна-русь,NOUN,6,1
66,михайла,михайло,NOUN,6,1
67,грушевського,грушевський,NOUN,6,1
68,записав,записати,VERB,6,1
69,у,у,PREP,6,1
70,своєму,свій,NPRO,6,1
71,щоденнику,щоденник,NOUN,6,1
72,читати,читати,VERB,6,1
73,українську,український,ADJF,6,1
74,історію,історія,NOUN,6,1
75,треба,треба,PRED,6,1
76,з,з,PREP,6,1
77,бромом,бром,NOUN,6,1
78,до,до,PREP,6,1
79,того,той,NPRO,6,1
80,боляче,боляче,ADVB,6,1
81,досадно,досадно,ADVB,6,1
82,гірко,гірко,ADVB,6,1
83,сумно,сумно,ADVB,6,1
84,перечитувати,перечитувати,VERB,6,1
85,як,як,CONJ,6,1
86,нешасна,нешасний,VERB,6,1
87,зацькована,зацькований,ADJF,6,1
88,зашарпана,зашарпаний,ADJF,6,1
89,нація,нація,NOUN,6,1
90,тільки,тільки,PRCL,6,1
91,те,той,NPRO,6,1
92,й,й,CONJ,6,1
93,робила,робити,VERB,6,1
94,за,за,PREP,6,1
95,весь,весь,NPRO,6,1
96,час,час,NOUN,6,1
97,свого,свій,NPRO,6,1
98,державного,державний,ADJF,6,1
99,чи,чи,CONJ,6,1
100,вірніше,вірніше,COMP,6,1
101,півдержавного,півдержавний,ADJF,6,1
102,існування,існування,NOUN,6,1
103,що,що,CONJ,6,1
104,одгризалась,одгризатися,VERB,6,1
105,на,на,PREP,6,1
106,всі,весь,NPRO,6,1
107,боки,бік,NOUN,6,1
108,од,од,PREP,6,1
109,поляків,поляки,NOUN,6,1
110,руських,руський,ADJF,6,1
111,татар,татарин,NOUN,6,1
112,шведів,швед,NOUN,6,1
113,уся,увесь,NPRO,7,1
114,історія,історія,NOUN,7,1
115,ряд,ряд,NOUN,7,1
116,безупинний,безупинний,ADJF,7,1
117,безперервний,безперервний,ADJF,7,1
118,ряд,ряд,NOUN,7,1
119,повстань,повстання,NOUN,7,1
120,війн,війна,NOUN,7,1
121,пожарищ,пожарище,NOUN,7,1
122,голоду,голод,NOUN,7,1
123,набігів,набіг,NOUN,7,1
124,військових,військовий,ADJF,7,1
125,переворотів,переворот,NOUN,7,1
126,інтриґ,інтриґа,NOUN,7,1
127,сварок,сварка,NOUN,7,1
128,підкопування,підкопування,NOUN,7,1
129,паршиві,паршивий,ADJF,8,1
130,шанолюбці,шанолюбець,NOUN,8,1
131,національне,національний,ADJF,8,1
132,сміття,сміття,NOUN,8,1
133,паразити,паразит,NOUN,8,1
134,й,й,CONJ,8,1
135,злодії,злодій,NOUN,8,1
136,продають,продавати,VERB,8,1
137,на,на,PREP,8,1
138,всі,весь,NPRO,8,1
139,боки,бік,NOUN,8,1
140,хто,хто,NPRO,8,1
141,більше,більше,COMP,8,1
142,дасть,дати,VERB,8,1
143,нащадки,нащадок,NOUN,9,1
144,прадідів,прадід,NOUN,9,1
145,поганих,поганий,ADJF,9,1
146,повторяють,повторяти,VERB,9,1
147,погані,поганий,ADJF,9,1
148,діла,діло,NOUN,9,1
150,поганців,поганець,NOUN,9,1
151,і,і,CONJ,10,1
152,розшарпаний,розшарпаний,ADJF,10,1
153,зацькований,зацькований,ADJF,10,1
154,народ,народ,NOUN,10,1
155,знову,знову,ADVB,10,1
156,безпомічний,безпомічний,ADJF,10,1
157,жде,ждати,VERB,10,1
158,якому,який,NPRO,10,1
159,панові,пан,NOUN,10,1
160,його,він,NPRO,10,1
161,оддадуть,оддати,VERB,10,1
162,ні,ні,PRCL,11,1
163,ні,ні,PRCL,11,1
164,української,український,ADJF,11,1
165,історії,історія,NOUN,11,1
166,без,без,PREP,11,1
167,брому,бром,NOUN,11,1
168,без,без,PREP,11,1
169,валеріанки,валеріанка,NOUN,11,1
170,або,або,CONJ,11,1
171,без,без,PREP,11,1
172,доброї,добрий,ADJF,11,1
173,дози,доза,NOUN,11,1
174,філософського,філософський,ADJF,11,1
175,застереження,застереження,NOUN,11,1
176,не,не,PRCL,11,1
177,можна,можна,PRED,11,1
178,історія,історія,NOUN,12,1
179,яку,який,NPRO,12,1
180,тримає,тримати,VERB,12,1
181,у,у,PREP,12,1
182,руках,рука,NOUN,12,1
183,шановний,шановний,ADJF,12,1
184,читач,читач,NOUN,12,1
185,можна,можна,PRED,12,1
186,назвати,назвати,VERB,12,1
187,історією,історія,NOUN,12,1
188,без,без,PREP,12,1
189,брому,бром,NOUN,12,1
190,її,вона,NPRO,13,1
191,підставовою,підставовий,ADJF,13,1
192,тезою,теза,NOUN,13,1
193,є,бути,VERB,13,1
194,ствердження,ствердження,NOUN,13,1
195,принципової,принциповий,ADJF,13,1
196,нормальності,нормальність,NOUN,13,1
197,української,український,ADJF,13,1
198,історії,історія,NOUN,13,1
199,це,це,PRCL,14,1
200,не,не,PRCL,14,1
201,означає,означати,VERB,14,1
202,що,що,CONJ,14,1
203,вона,вона,NPRO,14,1
204,має,мати,VERB,14,1
205,на,на,PREP,14,1
206,меті,мета,NOUN,14,1
207,замінити,замінити,VERB,14,1
208,гіркий,гіркий,ADJF,14,1
209,наркотик,наркотик,NOUN,14,1
210,солодким,солодкий,ADJF,14,1
211,українство,українство,NOUN,15,1
212,було,бути,VERB,15,1
213,і,і,CONJ,15,1
214,залишається,залишатися,VERB,15,1
215,пораженим,поражений,ADJF,15,1
216,тяжкими,тяжкий,ADJF,15,1
217,хворобами,хвороба,NOUN,15,1
218,нормальність,нормальність,NOUN,16,1
219,української,український,ADJF,16,1
220,історії,історія,NOUN,16,1
221,полягає,полягати,VERB,16,1
222,у,у,PREP,16,1
223,тому,тому,CONJ,16,1
224,що,що,CONJ,16,1
225,всі,весь,NPRO,16,1
226,ці,цей,NPRO,16,1
227,хвороби,хвороба,NOUN,16,1
228,не,не,PRCL,16,1
229,є,бути,VERB,16,1
230,смертельними,смертельний,ADJF,16,1
231,а,а,CONJ,16,1
232,вони,вони,NPRO,16,1
233,є,бути,VERB,16,1
234,радше,радше,ADVB,16,1
235,хворобами,хвороба,NOUN,16,1
236,росту,ріст,NOUN,16,1
237,національного,національний,ADJF,16,1
238,організму,організм,NOUN,16,1
239,українцям,українець,NOUN,17,1
240,вдалося,вдатися,VERB,17,1
241,перетворитися,перетворитися,VERB,17,1
242,у,у,PREP,17,1
243,модерню,модерний,ADJF,17,1
244,націю,нація,NOUN,17,1
245,у,у,PREP,17,1
246,винятково,винятково,ADVB,17,1
247,несприятливих,несприятливий,ADJF,17,1
248,обставинах,обставина,NOUN,17,1
249,якщо,якщо,CONJ,18,1
250,прийняти,прийняти,VERB,18,1
251,що,що,CONJ,18,1
252,нація,нація,NOUN,18,1
253,має,мати,VERB,18,1
254,відрізнятися,відрізнятися,VERB,18,1
255,спільною,спільний,ADJF,18,1
256,мовою,мова,NOUN,18,1
257,історичною,історичний,ADJF,18,1
258,пам’яттю,пам’ять,NOUN,18,1
259,конфесією,конфесія,NOUN,18,1
260,то,то,CONJ,18,1
261,ні,ні,PRCL,18,1
262,одна,один,NPRO,18,1
263,із,із,PREP,18,1
264,цих,цей,NPRO,18,1
265,характеристик,характеристика,NOUN,18,1
266,не,не,PRCL,18,1
267,підходить,підходити,VERB,18,1
268,повністю,повністю,ADVB,18,1
269,до,до,PREP,18,1
270,україни,україна,NOUN,18,1
271,трохи,трохи,ADVB,18,1
272,менше,менше,COMP,18,1
273,половини,половина,NOUN,18,1
274,українського,український,ADJF,18,1
275,населення,населення,NOUN,18,1
276,розмовляє,розмовляти,VERB,18,1
277,зараз,зараза,NOUN,18,1
278,російською,російський,ADJF,18,1
279,мовою,мова,NOUN,18,1
280,історична,історичний,ADJF,18,1
281,пам’ять,пам’ять,NOUN,18,1
282,значної,значний,ADJF,18,1
283,його,він,NPRO,18,1
284,частини,частина,NOUN,18,1
285,практична,практичний,ADJF,18,1
286,знищена,знищений,ADJF,18,1
287,й,й,CONJ,18,1
288,тут,тут,ADVB,18,1
289,змагаються,змагатися,VERB,18,1
290,між,між,PREP,18,1
291,собою,себе,NPRO,18,1
292,за,за,PREP,18,1
293,впливи,вплив,NOUN,18,1
294,зразу,зразу,ADVB,18,1
295,декілька,декілька,NPRO,18,1
296,церков,церква,NOUN,18,1
297,на,на,PREP,19,1
298,протязі,протяг,NOUN,19,1
299,всієї,весь,NPRO,19,1
300,новітньої,новітній,ADJF,19,1
301,історії,історія,NOUN,19,1
302,українці,українець,NOUN,19,1
303,підпадали,підпадати,VERB,19,1
304,під,під,PREP,19,1
305,сильний,сильний,ADJF,19,1
306,асиміляційний,асиміляційний,ADJF,19,1
307,тиск,тиск,NOUN,19,1
308,окрім,окрім,PREP,20,1
309,втрат,втрата,NOUN,20,1
310,спричинених,спричинений,ADJF,20,1
311,асиміляцією,асиміляція,NOUN,20,1
312,вони,вони,NPRO,20,1
313,зазнали,зазнати,VERB,20,1
314,безпосередніх,безпосередній,ADJF,20,1
315,величезних,величезний,ADJF,20,1
316,біологічних,біологічний,ADJF,20,1
317,втрат,втрата,NOUN,20,1
318,які,який,NPRO,20,1
319,за,за,PREP,20,1
320,своїми,свій,NPRO,20,1
321,масштабами,масштаб,NOUN,20,1
322,можна,можна,PRED,20,1
323,порівняти,порівняти,VERB,20,1
324,хіба,хіба,CONJ,20,1
325,що,що,CONJ,20,1
326,з,з,PREP,20,1
327,єврейськими,єврейський,ADJF,20,1
328,якщо,якщо,CONJ,21,1
329,взяти,взяти,VERB,21,1
330,сумарну,сумарний,ADJF,21,1
331,кількість,кількість,NOUN,21,1
332,жертв,жертва,NOUN,21,1
333,двох,два,NUMR,21,1
334,світових,світовий,ADJF,21,1
335,війн,війна,NOUN,21,1
336,репресій,репресія,NOUN,21,1
337,колективізації,колективізація,NOUN,21,1
338,та,та,CONJ,21,1
339,голодів,голод,NOUN,21,1
342,та,та,CONJ,21,1
345,то,то,CONJ,21,1
346,виходить,виходити,VERB,21,1
347,що,що,CONJ,21,1
348,у,у,PREP,21,1
351,в,в,PREP,21,1
352,україні,україна,NOUN,21,1
353,загинули,загинути,VERB,21,1
354,майже,майже,ADVB,21,1
355,кожний,кожний,NPRO,21,1
356,другий,другий,NUMR,21,1
